收书日期,印次出版日期,库区,书名,印次,单价,实收数量,码洋
1/10/2018,1/3/2018,WX,国标教材 语文 伴你成长 五年级下册 北师大版,3-6,14.3,2020,28886
1/10/2018,1/3/2018,WX,国标教材 语文 伴你成长 六年级下册 北师大版,3-6,16.5,2020,33330
1/11/2018,9/3/2014,WX,常青藤英语 中考完形填空与阅读理解 限时训练,1-1,25.8,0,0
1/11/2018,9/3/2014,WX,常青藤英语 高考完形填空与阅读理解 限时训练,1-1,28.8,0,0
1/11/2018,8/27/2014,WX,常青藤英语 中考听力 限时训练,1-1,18.8,0,0
1/11/2018,,WX,高考特级模拟 数学卷（理科）,2-1,24,0,0
1/11/2018,11/1/2013,WX,新课标单元测试卷 语文 九年级下册 新课标版,1-2,11.2,0,0
1/11/2018,11/1/2013,WX,新课标单元测试卷 语文 七年级下册 新课标版,1-2,11.2,0,0
1/11/2018,10/23/2013,WX,新课标单元测试卷 语文 四年级下册 新课标版,1-2,11.2,0,0
1/11/2018,12/18/2013,WX,新课标单元测试卷 物理 八年级下册 新课标版,2-1,12.6,0,0
1/11/2018,10/30/2013,WX,新课标单元测试卷 物理 九年级全一册 新课标版,2-2,16.8,0,0
1/11/2018,12/23/2013,WX,新课标单元测试卷 英语 八年级下册 新课标版,2-1,14,0,0
1/11/2018,12/13/2013,WX,新课标单元测试卷 化学 九年级下册 新课标版,2-1,12.6,0,0
1/11/2018,,WX,新课标单元测试卷 英语 九年级下册 新课标版,1-3,12.6,0,0
1/11/2018,10/30/2013,WX,新课标单元测试卷 数学 九年级下册 新课标版,1-2,12.6,0,0
1/11/2018,11/1/2013,WX,新课标单元测试卷 数学 三年级下册 新课标版,1-2,11.2,0,0
1/11/2018,12/3/2013,WX,新课标单元测试卷 数学 二年级下册 新课标版,2-1,11.2,0,0
1/11/2018,11/1/2013,WX,新课标单元测试卷 数学 六年级下册 新课标版,1-2,11.2,0,0
1/11/2018,11/1/2013,WX,新课标单元测试卷 数学 四年级下册 新课标版,1-2,11.2,0,0
1/11/2018,12/27/2011,WX,2012年高考特级模拟 语文卷,1-1,18.7,0,0
1/11/2018,12/27/2011,WX,2012年高考特级模拟 英语卷,1-1,29.7,0,0
1/11/2018,12/27/2011,WX,2012年高考特级模拟 文科数学卷,1-1,23.6,0,0
1/11/2018,12/27/2011,WX,2012年高考特级模拟 文科综合卷,1-1,26.3,0,0
