通知日期,书名,印次,定价,印单印数,总码洋
1/12/2018,送审 课堂精练 物理 八年级下册 北师大版 双色(第2版）,2-1,10.45,69000,721050
3/20/2018,送审 课堂精练 物理 八年级下册 北师大版 双色(第2版）,2-1,10.45,500,5225
1/15/2018,送审 大庆专版 课堂精练 数学 八年级下册 北师大版(第2版),2-2,21.05,11108,233823.4
1/16/2018,送审辽宁 课内课外直通车 数学 七年级下册 北师大版,1-3,13.9,550,7645
1/16/2018,送审辽宁 课内课外直通车 数学 八年级下册 北师大版,1-4,14.5,650,9425
1/16/2018,送审辽宁 课内课外直通车 数学 九年级下册 北师大版,1-3,15.1,150,2265
1/16/2018,送审 课堂精练 中国历史 七年级下册 双色,1-1,11.17,68000,759560
1/16/2018,海淀名师伴你学 中考复习与指导 生物,1-1,12.8,14000,179200
1/16/2018,语文写字本 二年级下册（第3版）,3-1,6,4200,25200
1/16/2018,课堂精练 语文 二年级下册 北师大版（第4版）,4-1,14.5,17000,246500
1/16/2018,送审河南 高中同步测控优化设计 数学 选修4-1 几何证明选讲 北师大版 双色,1-5,11.31,3000,33930
1/16/2018,江西 高中同步测控优化设计 数学 选修4-1 几何证明选讲 北师大版 （第4版）,4-4,13.8,2000,27600
1/16/2018,送审湖北 课堂精练 生物 八年级下册 北师大版,2-5,7.7,8800,67760
1/16/2018,送审湖北 实验探究报告册 物理 八年级下册 北师大版,3-6,4.25,4500,19125
1/16/2018,送审 福建专版 小学同步测控优化设计 语文 二年级下册 北师大版（第3版）,3-1,6.6,88000,580800
1/30/2018,送审 福建专版 小学同步测控优化设计 语文 二年级下册 北师大版（第3版）,3-1,6.6,2500,16500
1/16/2018,四川 课内课外直通车 语文 二年级下册,1-1,16.8,29000,487200
1/19/2018,四川 课内课外直通车 语文 二年级下册,1-1,16.8,2000,33600
1/17/2018,送审 课堂精练 物理 八年级下册 北师大版(第3版）,3-1,7.7,26800,206360
1/17/2018,湖北 课堂精练 道德与法治 七年级下册 双色,1-4,22.5,10200,229500
1/17/2018,送审云南 课堂精练 道德与法治 七年级下册 北师大版 双色,1-3,13.58,5500,74690
1/18/2018,送审广东 初中总复习优化设计 语文 北师大版（第3版）,3-3,23.58,7500,176850
1/18/2018,送审 广西 课堂精练 高中历史 必修2（第2版）,2-2,11.32,2000,22640
1/18/2018,送审广西 实验探究报告册 生物 七年级下册 北师大版,3-10,2.2,20500,45100
1/18/2018,送审广西 实验探究报告册 生物 八年级下册 北师大版,4-9,1.95,19000,37050
1/18/2018,河南 课堂精练 语文 一年级下册 单色,1-1,13.5,20000,270000
1/18/2018,送审 福建专版 小学同步测控优化设计 语文 一年级下册（第2版）,2-2,6.6,88000,580800
1/31/2018,送审 福建专版 小学同步测控优化设计 语文 一年级下册（第2版）,2-2,6.6,2500,16500
1/18/2018,送审 福建专版 初中同步测控优化设计 中国历史 七年级下册,1-2,9.4,58000,545200
1/19/2018,送审 福建专版 初中同步测控优化设计 中国历史 七年级下册,1-2,9.4,14000,131600
1/18/2018,送审 吉林 课堂精练 道德与法治 七年级下册 双色,1-2,13.86,52500,727650
1/18/2018,送审 哈尔滨专版 课堂精练 中国历史 七年级下册,1-1,14.17,37157,526514.69
1/19/2018,送审广东 初中总复习优化设计 思想品德（第3版）,3-2,20.98,2000,41960
1/19/2018,送审 福建 新课程复习与提高 中国历史 七年级下册,1-2,9.4,57500,540500
1/19/2018,送审广东 初中总复习优化设计 地理（第3版）,3-2,21.21,11000,233310
1/19/2018,送审 安徽 课堂精练 中国历史 八年级下册 北师大版 双色,1-1,11.56,126000,1456560
1/30/2018,送审 安徽 课堂精练 中国历史 八年级下册 北师大版 双色,1-1,11.56,2000,23120
1/19/2018,送审 江苏 课时同步学练测 中国历史 八年级下册 北师大版,1-1,10.4,23000,239200
1/19/2018,送审 云南 课堂精练 道德与法治 八年级下册  双色,1-1,13.58,4200,57036
1/19/2018,送审 吉林 课堂精练 道德与法治 八年级下册  双色,1-1,13.86,49500,686070
